mt20Id,url,title,genre_hint,genre_norm,is_musical,공연기간,공연장소,공연시간,관람연령,티켓가격,출연진,창작자,제작진,주최·주관,기획·제작,최종수정
PF253199,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF253199,"DJAC 기획공연, 이건명 X 리사: 크리스마스엔 뮤지컬 [대전]",뮤지컬,뮤지컬,True,2024.12.24(화) ~ 2024.12.24(화),대전예술의전당 아트홀,화요일(19:30),만 7세 이상,"전석 30,000원","이건명, 정희선",,해당정보 없음,대전예술의전당(주최),해당정보 없음,2024.11.13
PF253207,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF253207,산타와 크리스마스 선물 [부천],뮤지컬,뮤지컬,True,2024.12.07(토) ~ 2024.12.25(수),뉴코아소극장 [부천],"화요일(12:00,14:00) / 토요일(12:00,14:00) / 일요일(12:00,14:00,16:00) / 공휴일(12:00,14:00,16:00)",전체 관람가,"전석 18,000원",해당정보 없음,,해당정보 없음,뉴코아아울렛 부천점(주최),해당정보 없음,2024.12.23
PF253208,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF253208,"꿀잼 어린이 극장, 빨간모자 [성남]",뮤지컬,뮤지컬,True,2024.11.15(금) ~ 2024.11.15(금),성남아트리움 (구. 성남시민회관) 대극장,금요일(19:00),36개월 이상,해당정보 없음,해당정보 없음,,해당정보 없음,성남시육아종합지원센터(주최),해당정보 없음,2024.11.18
PF253213,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF253213,"서울예술단, 천 개의 파랑 [제주]",뮤지컬,뮤지컬,True,2024.12.07(토) ~ 2024.12.08(일),제주문예회관 대극장,토요일(19:00) / 일요일(15:00),만 7세 이상,"1층석 30,000원 / 2층석 25,000원","윤태호, 조진호, 서연정, 최효정, 송문선, 김건혜, 최인형 등",,"김한솔, 박천휘, 김태형 등",(재)서울예술단(주관) / (재)예술경영지원센터(주최) / 제주문예회관 (제주문화예술진흥원)(주관),해당정보 없음,2025.05.20
PF253229,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF253229,피터팬 [대전],뮤지컬,뮤지컬,True,2025.02.08(토) ~ 2025.02.09(일),대전평송청소년문화센터 평송홀(대극장),"토요일 ~ 일요일(11:00,14:00,16:00) / *주말 11:00, 14:00, 16:00",24개월 이상,"전석 10,000원",해당정보 없음,,해당정보 없음,아이기획(주최),해당정보 없음,2024.11.12
PF253244,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF253244,면면면,뮤지컬,뮤지컬,True,2024.12.01(일) ~ 2024.12.16(월),국립정동극장 세실 (구.세실극장),월요일 ~ 금요일(19:30) / 일요일(15:00) / *평일 19:30 / 일 15:00 / 토요일 공연 없음,만 7세 이상,"전석 30,000원","전재홍, 최우혁, 홍성원, 박란주, 우재하, 노현창, 이동주 등",김가람(각색),"양정웅, 윤영주, 안기혁 등",(재)국립정동극장(주최·주관),게니우스(제작),2024.12.02
PF253265,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF253265,양천 크리스마스 공연 예술제,뮤지컬,뮤지컬,True,2024.12.15(일) ~ 2024.12.15(일),양천문화회관 대극장,일요일(19:00),만 5세 이상,"R석 30,000원 / S석 20,000원 / A석 10,000원",김다솔 등,,해당정보 없음,라온하제(주최) / 서울특별시(주최) / 심포니앤조이 오케스트라(주최),해당정보 없음,2024.11.11
PF253266,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF253266,내 하나의 사람은 가고,뮤지컬,뮤지컬,True,2024.11.12(화) ~ 2024.11.13(수),용산아트홀 대극장 미르,화요일 ~ 수요일(19:00),만 10세 이상,"VIP석 90,000원 / R석 70,000원 / S석 50,000원 / A석 30,000원","윤성경, 차강석, 김우경, 이훈선, 김미성, 김호숙, 이진호 등",,"정옥용, 이돈용, 진정하 등",(사) 한베따이한(주관) / (주) 코너스톤 컬쳐&컨텐츠(주관) / 소망예술단(주최),(주) 코너스톤 컬쳐&컨텐츠(제작),2024.11.12
PF253295,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF253295,성냥팔이 소녀 [청주],뮤지컬,뮤지컬,True,2024.12.14(토) ~ 2024.12.15(일),소극장 쇠내골,토요일 ~ 일요일(14:00) / *주말 14:00 / 평일 단체공연,36개월 이상,"전석 50,000원","박선령, 허선우, 이혜림, 조재문, 김지원",,"이병호, 조한나, 정재훈 등","극단 하이(SNG 씨어터, 하이뮤지컬컴퍼니)(주최·주관)","극단 하이(SNG 씨어터, 하이뮤지컬컴퍼니)(제작) / 소극장 쇠내골(기획)",2024.11.19
PF253307,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF253307,UNTIL DEATH [부산],뮤지컬,뮤지컬,True,2024.12.06(금) ~ 2024.12.08(일),영산대학교 [해운대] 성심오디토리움(M동),"금요일(19:30) / 토요일(14:00,19:00) / 일요일(14:00) / * 금 19:30 / 토 14:00 무료공연 / * 토 19:00 / 일 14:00 유료공연",만 14세 이상,"전석 30,000원",해당정보 없음,,"강인정, 남태인",극단 우릿(주최),해당정보 없음,2024.11.11
PF253320,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF253320,아기돼지 삼형제 [대전],뮤지컬,뮤지컬,True,2025.01.19(일) ~ 2025.01.19(일),대전평송청소년문화센터 어울림홀(소극장),"일요일(13:00,15:00,17:00)",24개월 이상,"전석 40,000원",해당정보 없음,,해당정보 없음,안녕컴퍼니(주최) / 조이컬쳐(주최·주관),해당정보 없음,2024.11.29
PF253326,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF253326,어린왕자에게 [인천 부평],뮤지컬,뮤지컬,True,2024.11.23(토) ~ 2024.11.23(토),부평아트센터 달누리극장,토요일(17:00),전체 관람가,전석무료,"장유은, 박지윤, 강예솔, 이지아, 위대진, 김예린, 정하람 등",,"임일진, 한정숙, 안창용 등",(재)인천광역시 부평구문화재단(부평아트센터)(주최·주관),해당정보 없음,2024.11.11
PF253329,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF253329,악당의 색: Red [부산],뮤지컬,뮤지컬,True,2024.12.05(목) ~ 2024.12.06(금),부산시민회관 소극장,"목요일 ~ 금요일(19:00) / *목, 금 19:00",전체 관람가,"전석 30,000원","김정민, 목수연, 민유원, 서보기, 이은미, 최선희, 황태현",,"박용희, 강승환, 윤채원 등",아이컨택 ICONTACT(주최·주관),해당정보 없음,2024.11.11
PF253347,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF253347,호두까기 인형 [울산],뮤지컬,뮤지컬,True,2024.12.16(월) ~ 2024.12.29(일),아트홀 마당,"월요일 ~ 금요일(10:20,11:20) / 토요일 ~ 일요일(12:00,14:00,16:00) / 공휴일(12:00,14:00,16:00) / * 평일 10:20, 11:20/ 주말,공휴일 12:00, 14:00, 16:00 / * 23일 월요일은 휴관",24개월 이상,"전석 20,000원",해당정보 없음,,해당정보 없음,사회적협동조합 공연제작소 마당(주최·주관),해당정보 없음,2024.11.11
PF253361,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF253361,바다탐험대 옥토넛 시즌3: 바다넘어 육지까지 [고양],뮤지컬,뮤지컬,True,2025.02.22(토) ~ 2025.02.23(일),고양어울림누리 어울림극장,"토요일(11:00,14:00,16:30) / 일요일(11:00,14:00) / *토 11:00, 14:00, 16:30 / 일 11:00, 14:00",24개월 이상,"전석 66,000원","김학민, 김루나, 박정은, 김하열, 최종현, 엄혜빈, 김민수",,"김명훈, 문귀환, 김이율 등",아리커뮤니케이션즈(주최·주관),(주)마당플레이웍스(제작),2025.01.23
PF253364,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF253364,누가 내 머리에 똥 쌌어? [거제],뮤지컬,뮤지컬,True,2024.12.22(일) ~ 2024.12.22(일),거제시청소년수련관 공연장,"일요일(13:00,15:00,17:00) / *일 13:00, 15:00, 17:00",24개월 이상,"전석 35,000원",해당정보 없음,,해당정보 없음,나눔(주최·주관),해당정보 없음,2024.11.14
PF253403,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF253403,두들팝,뮤지컬,뮤지컬,True,2025.01.03(금) ~ 2025.01.30(목),세종문화회관 세종S씨어터,"화요일 ~ 금요일(11:00) / 토요일 ~ 일요일(11:00,14:00) / 공휴일(11:00,14:00,16:30) / *평일 11:00(월 공연 없음) / 주말 11:00, 14:00 / 공휴일 11:00, 14:00(단 1/29 14:00, 16:30)",36개월 이상,"전석 50,000원 / 시야제한석 45,000원",해당정보 없음,,해당정보 없음,(유)브러쉬씨어터(주최·주관),해당정보 없음,2025.01.07
PF253408,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF253408,백설공주 [고양],뮤지컬,뮤지컬,True,2024.12.27(금) ~ 2024.12.29(일),현대백화점 문화홀 [킨텍스] 문화홀 (9층),"금요일(11:00,14:00,17:00) / 토요일 ~ 일요일(11:00,14:00,17:00)",24개월 이상,"전석 30,000원",해당정보 없음,,해당정보 없음,문화공작소 조이(주최) / 에스엔씨컴퍼니(주최) / 조이컬쳐(주관),해당정보 없음,2024.11.12
PF253413,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF253413,캐치! 티니핑: 두근두근 싱어롱 콘서트! [포천],뮤지컬,뮤지컬,True,2024.11.30(토) ~ 2024.11.30(토),포천반월아트홀 대극장,"토요일(11:00,14:00)",24개월 이상,"R석 66,000원 / S석 44,000원","박정윤, 이아영, 안정현, 유현주, 박희민, 최현진, 김혜경 등",,"홍승희, 김한솔, 박상우 등",(재) 포천문화관광재단(주최·주관),(주)쇼노트(제작) / (주)에스에이엠지엔터테인먼트(SAMG엔터테인먼트)(제작) / (주)이캐슬(제작) / (주)하늘이엔티(제작),2024.11.12
PF253417,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF253417,명성황후 [부산],뮤지컬,뮤지컬,True,2024.12.20(금) ~ 2024.12.29(일),드림씨어터 [부산],"화요일(14:30,19:30) / 금요일(14:30,19:30) / 토요일(14:00,19:00) / 일요일(14:00) / 공휴일(14:00) / * 화요일, 금요일 19:30 / 토요일 14:00, 19:00 / 일요일, 공휴일 14:00 / * 단 12.24, 12.27일 14:30, 19:30",만 7세 이상,"VIP석 160,000원 / R석 140,000원 / S석 100,000원 / A석 80,000원","김소현, 신영숙, 차지연, 강필석, 손준호, 김주택, 양준모 등",김광림(각색),"안재승, 윤홍선, 윤호진 등",드림씨어터(주최·주관) / 파워엔터테인먼트(주)(주최),(주) 에이콤(ACOM)(제작),2024.11.15
